direction,method,step_label,function,area_rel_l2,tempest_finest_error,finest_error_ratio_vs_tempest,fitted_order,r2
CS_to_RLL_3level,irno,base,smooth2,0.0009191031084789,0.0005211175044289,1.7637156700121943,0.5362599801814292,0.5475350443988471
CS_to_RLL_3level,irno,base,x,0.0014376816398064,0.0016544930695486,0.8689559758619277,1.00311996179619,0.6560947303992735
CS_to_RLL_3level,irno,base,y,0.0014059847726661,0.0016544930695486,0.8497979221210632,1.0172821094486262,0.6282051430273332
CS_to_RLL_3level,irno,base,z,0.0014014897571161,0.0011875044647598,1.1801974634256078,0.8670546962496067,0.6142885962213546
CS_to_RLL_3level,irno,corrected_lmax16,smooth1,0.000987884316902,0.0004629036058523,2.1341037408492496,0.3171936678270915,0.2521060432133065
CS_to_RLL_3level,irno,corrected_lmax16,smooth2,0.0010806185382758,0.0005211175044289,2.0736561890394856,0.4525979048632777,0.3567763724417757
CS_to_RLL_3level,irno,corrected_lmax16,x,0.0016560439019962,0.0016544930695486,1.0009373459920403,0.9392176039873376,0.6516068168536954
CS_to_RLL_3level,irno,corrected_lmax16,y,0.0016074502069849,0.0016544930695486,0.9715666004110038,0.9601107829653952,0.6438031541363671
CS_to_RLL_3level,irno,corrected_lmax16,z,0.0016512744799363,0.0011875044647598,1.3905417023171431,0.8035467155360898,0.595822948504075
CS_to_RLL_3level,irno,corrected_lmax24,smooth1,0.0010704963203944,0.0004629036058523,2.312568549608504,0.2829075711153967,0.1747620723900245
CS_to_RLL_3level,irno,corrected_lmax24,smooth2,0.0011737564739146,0.0005211175044289,2.2523835103196856,0.411474425778827,0.2789521938300533
CS_to_RLL_3level,irno,corrected_lmax24,x,0.0018078949747911,0.0016544930695486,1.0927183728151566,0.8954190105078601,0.6506113358034984
CS_to_RLL_3level,irno,corrected_lmax24,y,0.0017514987424648,0.0016544930695486,1.0586316586642857,0.9178084860275504,0.6509006005452662
CS_to_RLL_3level,irno,corrected_lmax24,z,0.0018161698332102,0.0011875044647598,1.5294004250986644,0.760604733829082,0.5878934147271144
CS_to_RLL_3level,irno,corrected_lmax8,smooth1,0.0009122686817996,0.0004629036058523,1.970753025610866,0.3502247865730502,0.3558121755168059
CS_to_RLL_3level,irno,corrected_lmax8,smooth2,0.0009961273726596,0.0005211175044289,1.9115216130597457,0.4929448425594856,0.4490495620333071
CS_to_RLL_3level,irno,corrected_lmax8,x,0.0015341408014418,0.0016544930695486,0.927257315052014,0.9742190599483318,0.6523705377887316
CS_to_RLL_3level,irno,corrected_lmax8,y,0.0014940540588496,0.0016544930695486,0.903028296913463,0.9922628132192812,0.6348902787944148
CS_to_RLL_3level,irno,corrected_lmax8,z,0.0015139205873323,0.0011875044647598,1.274875701320858,0.8379076181819418,0.6031458491685071
CS_to_RLL_3level,tempest,tempest,smooth1,0.0004629036058523,0.0004629036058523,1.0,1.028089101772958,0.9999491493976278
CS_to_RLL_3level,tempest,tempest,smooth2,0.0005211175044289,0.0005211175044289,1.0,1.0085651141537837,0.9999962101190042
CS_to_RLL_3level,tempest,tempest,x,0.0016544930695486,0.0016544930695486,1.0,1.0171532600767723,0.9999802311365482
CS_to_RLL_3level,tempest,tempest,y,0.0016544930695486,0.0016544930695486,1.0,1.0171532600767723,0.9999802311365482
